gameStartTimestamp,kills,deaths,killingSprees,visionScore,goldEarned,neutralMinionsKilled,summonerName,baitPings,championName,enemyMissingPings,win,totalMinionsKilled,role,Creep Score,gameMode,queueId
2023-06-20 21:19:44.759,15,10,3,27,18413,4,FrozenFire2018,4,Ahri,3,True,216,SOLO,220,CLASSIC,440
2023-06-11 19:11:46.478,9,8,2,19,15834,0,FrozenFire2018,0,Ahri,4,False,234,SOLO,234,CLASSIC,440
2023-06-11 18:18:24.051,9,9,2,14,13964,4,FrozenFire2018,1,Sylas,0,True,195,SOLO,199,CLASSIC,440
2023-06-11 16:15:24.311,17,5,2,22,15655,4,FrozenFire2018,0,Zoe,2,True,161,SOLO,165,CLASSIC,440
2023-06-09 19:13:05.585,18,8,4,15,16402,0,FrozenFire2018,6,Zoe,3,False,212,SOLO,212,CLASSIC,440
2023-06-09 18:20:19.646,19,13,7,20,18790,4,FrozenFire2018,2,Vex,7,False,193,SOLO,197,CLASSIC,440
2023-06-09 17:31:48.265,9,6,2,11,8881,0,FrozenFire2018,1,Zoe,3,True,113,SUPPORT,113,CLASSIC,440
2023-06-09 17:21:42.076,0,0,0,0,542,0,FrozenFire2018,0,Ahri,0,False,0,SUPPORT,0,CLASSIC,440
2023-06-09 16:28:48.474,8,12,2,16,15887,4,FrozenFire2018,0,Malzahar,0,False,253,SOLO,257,CLASSIC,440
2023-05-21 17:12:15.674,12,9,3,25,21652,12,FrozenFire2018,8,Vex,8,True,317,SOLO,329,CLASSIC,440
2023-05-13 20:22:28.064,9,8,3,19,15000,8,FrozenFire2018,6,Ahri,6,True,190,DUO,198,CLASSIC,440
2023-05-05 16:26:20.948,6,10,2,14,11080,0,FrozenFire2018,1,Zoe,1,True,143,SOLO,143,CLASSIC,440
2023-05-05 15:35:53.187,14,7,3,20,17132,4,FrozenFire2018,0,Zoe,4,True,231,SOLO,235,CLASSIC,440
